iter	Passed	Remaining
688	21104	9526
689	21138	9496
690	21169	9466
691	21200	9435
692	21230	9405
693	21261	9374
694	21285	9341
695	21315	9310
696	21345	9279
697	21378	9249
698	21409	9219
699	21438	9188
700	21471	9158
701	21501	9127
702	21533	9097
703	21557	9064
704	21591	9034
705	21623	9004
706	21654	8974
707	21685	8943
708	21714	8912
709	21745	8881
710	21776	8851
711	21809	8821
712	21841	8791
713	21871	8760
714	21903	8730
715	21936	8701
716	21964	8669
717	21997	8639
718	22026	8608
719	22056	8577
720	22086	8546
721	22118	8516
722	22151	8486
723	22180	8455
724	22209	8424
725	22242	8394
726	22271	8363
727	22302	8332
728	22332	8301
729	22363	8271
730	22396	8241
731	22426	8210
732	22457	8180
733	22491	8150
734	22521	8120
735	22554	8090
736	22589	8061
737	22619	8030
738	22649	7999
739	22683	7970
740	22711	7938
741	22744	7908
742	22775	7877
743	22806	7847
744	22835	7816
745	22866	7785
746	22893	7753
747	22919	7721
748	22947	7690
749	22980	7660
750	23011	7629
751	23045	7600
752	23076	7569
753	23107	7538
754	23137	7508
755	23164	7476
756	23193	7445
757	23223	7414
758	23254	7383
759	23284	7352
760	23313	7321
761	23343	7290
762	23371	7259
763	23404	7229
764	23434	7198
765	23463	7167
766	23492	7136
767	23525	7106
768	23556	7076
769	23588	7045
770	23617	7014
771	23648	6984
772	23681	6954
773	23709	6923
774	23735	6891
775	23766	6860
776	23794	6829
777	23821	6797
778	23855	6767
779	23884	6736
780	23915	6706
781	23944	6675
782	23972	6643
783	23999	6612
784	24029	6581
785	24059	6550
786	24092	6520
787	24121	6489
788	24155	6459
789	24188	6429
790	24218	6399
791	24249	6368
792	24282	6338
793	24311	6307
794	24345	6277
795	24375	6247
796	24404	6215
797	24435	6185
798	24461	6153
799	24491	6122
800	24523	6092
801	24551	6061
802	24578	6029
803	24610	5999
804	24643	5969
805	24674	5939
806	24706	5908
807	24736	5878
808	24767	5847
809	24796	5816
810	24824	5785
811	24855	5754
812	24887	5724
813	24918	5693
814	24950	5663
815	24981	5633
816	25013	5602
817	25044	5572
818	25070	5540
819	25102	5510
820	25130	5479
821	25160	5448
822	25190	5417
823	25221	5387
824	25251	5356
825	25280	5325
826	25311	5294
827	25343	5264
828	25374	5233
829	25404	5203
830	25434	5172
831	25460	5141
832	25493	5110
833	25525	5080
834	25552	5049
835	25582	5018
836	25615	4988
837	25646	4957
838	25677	4927
839	25708	4896
